economy,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
AUT,7.39957905,7.28789806,7.43251085,7.42312813,7.51863861,7.51185322,7.49085999,7.4457655,7.48925352,7.6176486,
BEL,7.78026438,7.9088397,8.04331493,8.03870392,8.08606339,7.91765547,8.32023335,8.33751106,8.26992512,8.18138885,
BGR,3.94296932,3.8648746,3.8487196,4.05425167,4.48852539,4.14251328,4.12227011,4.13160944,4.23249435,4.21549892,
CYP,2.98153758,3.05716181,3.00964785,3.1639576,2.95597911,2.85344434,2.79534912,2.75970554,2.889117,3.92549944,
CZE,5.71528721,5.79820013,5.83021832,6.44102383,6.2726655,5.91782522,5.81872368,5.83938646,6.22329235,6.38516235,
DEU,8.39900112,8.12801647,8.18807316,8.40567684,8.48952866,8.60765076,8.68237877,8.80528641,8.88178158,9.09177876,
DNK,8.66742611,8.48921585,8.600667,8.56900883,8.56367874,8.60955524,8.53385067,8.43570423,8.44737244,8.29217625,
ESP,6.78822565,6.73760843,6.6031642,6.43856239,6.38650513,6.50834465,6.40582085,6.31750059,6.31789398,6.44906759,
EST,4.6538105,4.32462502,4.40868425,4.5115447,4.58424425,4.78245449,4.85010386,4.84546947,4.92211819,5.00857496,
FIN,7.1804533,7.30151606,7.64987373,7.79147577,7.78149462,7.577631,7.29918051,7.11996555,7.09846258,7.33806992,
FRA,7.9076767,7.85247898,7.94105148,8.04127502,8.13847065,8.2843132,8.61875916,8.59649086,8.49391079,8.32757092,
GRC,6.61249924,6.04027748,5.67585993,5.10615826,4.50618839,4.58808708,4.33708858,4.22217941,4.1116519,3.77202368,
HRV,6.74670696,6.36794853,6.43348598,5.5437026,5.63077784,5.63971424,5.65209961,5.59909582,5.64517641,5.69058323,
HUN,4.97239828,4.96027899,4.8177495,4.79953051,4.71063042,4.6497283,4.73662853,4.617239,4.55338621,4.31688643,
IRL,8.00348186,7.67608261,7.64280462,7.26879978,6.77029276,5.26821184,5.39948225,5.15522861,5.08517361,4.98130083,
ITA,6.9949379,6.7571559,6.66466141,6.64814186,6.68862152,6.59266424,6.49173546,6.39856386,6.40597105,6.40774679,
LTU,4.8445034,4.5629921,4.18076372,4.01803207,4.12314367,4.28938293,4.36463356,4.21900225,4.31181335,4.56012249,
LUX,6.0416913,5.15382862,4.66995001,4.63559723,4.58126831,4.46510792,4.38643408,4.45764399,4.48882246,4.61186886,
LVA,3.68302774,3.51926613,3.24725819,3.22127295,3.26178217,3.31828213,3.42661548,3.41296244,3.69703722,3.98357701,
MLT,5.13512707,5.44435787,5.49935532,5.73996449,5.59774208,5.41260624,5.63705349,5.59465122,5.59290552,5.1835227,
NLD,6.8305521,6.88881063,7.03803921,7.12333632,7.14843035,6.81934118,6.74071836,6.501966,6.59804344,6.67556286,
POL,4.57513046,4.43206882,4.34607458,4.50933599,4.46653366,4.43369961,4.49653769,4.51487017,4.49809456,4.60206556,
PRT,6.67315197,6.27685404,5.91590166,5.85821247,5.76832533,5.74543381,5.78449821,5.68938971,5.75663471,5.80534792,
ROU,4.606637,3.52538109,3.63839674,4.10288525,3.96122551,3.8559978,3.9118576,4.04785347,4.43120813,4.60361433,
SVK,5.48891592,5.29839993,5.36506462,5.49825144,5.46752834,5.34849453,5.68539762,5.35255432,5.3113966,5.48452091,
SVN,6.19808006,6.16889191,6.1747551,6.14473963,5.99596119,6.06387234,6.11774015,5.87684536,5.9950242,6.16875267,
SWE,6.86272383,8.80000973,9.0407753,9.1623106,9.19936943,9.07129955,9.14448833,9.13570595,9.27633858,9.22483444,
