economy,YR2000,YR2003,YR2006,YR2009,YR2012,YR2015,YR2018,YR2021
AUT,11.0332202911377,10.7396202087402,10.3745803833008,10.583930015564,10.7011804580688,10.6934795379639,10.7194204330444,
BEL,,,,11.8105497360229,,12.0096797943115,12.2154998779297,
BGR,,11.1802501678467,12.010479927063,12.6567497253418,10.6909198760986,,,
CYP,14.2683095932007,16.515230178833,16.1796207427979,17.2012500762939,,16.024959564209,,
CZE,8.91213989257813,8.38220977783203,10.1192798614502,9.3469295501709,9.44756984710693,13.7163095474243,10.5089197158813,
DEU,,,9.4924898147583,10.185640335083,11.034740447998,10.9991598129272,11.2255802154541,
DNK,15.3441495895386,15.1417503356934,15.5126399993896,14.9441699981689,12.4887104034424,,13.4381999969482,
ESP,10.6530303955078,10.8753499984741,10.8878297805786,10.6249799728394,9.18566036224365,9.76646041870117,10.0303297042847,
EST,14.685040473938,15.0490303039551,,12.9979295730591,12.0201797485352,13.0143003463745,13.3533697128296,
FIN,12.1709203720093,12.7759704589844,12.2838201522827,11.9419898986816,12.893159866333,12.4436101913452,11.7464399337769,
FRA,,,,,,,9.71734046936035,
GRC,6.95776987075806,7.36040019989014,,,,7.15652990341187,7.41740989685059,
HRV,,7.7217001914978,,8.98560047149658,,,8.60007953643799,
HUN,10.3236103057861,11.8297700881958,10.3277101516724,9.8643798828125,8.43414974212646,8.92302989959717,10.0842895507813,
IRL,13.5181999206543,12.8731098175049,13.548999786377,13.1332502365112,13.5315504074097,12.936840057373,13.3242902755737,
ITA,9.22105979919434,9.62765026092529,9.46874046325684,8.85079002380371,8.01743030548096,8.09591007232666,8.79574012756348,
LTU,,15.9309797286987,14.2896499633789,12.7776098251343,13.5359697341919,12.2882604598999,11.742730140686,
LUX,,,,,9.27455043792725,9.33442974090576,8.65857982635498,
LVA,14.6014795303345,15.3767595291138,13.9116296768188,13.0251398086548,17.7365493774414,14.1274099349976,11.1475095748901,
MLT,,,,12.3449401855469,15.2615604400635,13.1508903503418,,
NLD,11.0814895629883,11.5314102172852,11.971079826355,11.6184597015381,11.7760696411133,12.2096500396729,12.9115495681763,
POL,11.5834398269653,11.6405696868896,12.7101802825928,11.085000038147,11.1936902999878,11.541410446167,11.1128997802734,
PRT,12.0520000457764,11.650520324707,10.8683500289917,11.0769500732422,10.1237802505493,10.1358299255371,10.8120603561401,
ROU,8.18758010864258,11.1390600204468,12.7196197509766,11.0212898254395,8.43579006195068,9.09451007843018,10.4609603881836,
SVK,7.32343006134033,10.4251499176025,9.55078029632568,9.02198028564453,9.38741970062256,10.0485095977783,9.52713012695313,
SVN,,12.0948095321655,12.2768802642822,11.2536201477051,11.3872203826904,10.0791702270508,11.3399696350098,
SWE,12.9130201339722,12.8543901443481,12.7362499237061,13.1823902130127,15.1362895965576,15.3828802108765,15.6670198440552,
