economy,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019
AUT,0.689659682673311,0.887206377570666,0.929167994749613,0.724621505059903,0.522332318267528,0.53003531533126,0.617332925131463,0.793659612090928,0.967228607743025,0.859844459720642
BEL,,,,,,,,,,
BGR,1.99326304028371,1.73473420348324,1.92255066023253,1.49518003339327,1.54575546590174,1.75006343979969,1.10459416091951,1.450203394546,1.30466659387005,1.18569446767818
CYP,0.719025504733435,0.800115927907777,1.93824743666777,1.0490739299883,0.95461499943157,1.29200413096787,1.11093165292102,0.59337874093508,1.26128641123655,1.25148718393691
CZE,0.977552917407029,0.813892039303036,0.992316446501574,0.850136999577482,0.764792792139516,0.830079829154479,0.612117977170448,0.620240593205621,,0.907456891353928
DEU,0.981107785998394,0.91273793689738,0.813855259658174,0.840166637320377,0.879062918928422,0.833869163556235,1.17162164480349,0.983565991452848,0.947976619095043,0.745955502305481
DNK,0.756096160309668,0.823932738430014,0.837653934505086,0.851342780400386,1.30645127404599,1.08988089535473,0.980504420499126,1.23860029792698,1.00832195928778,1.14347551065277
ESP,0.854445688374367,0.817683334479506,0.773430388364683,0.643504016594392,0.690496609650958,0.647070029411047,0.630439537942714,0.658128503341824,0.618938273286005,0.712500916301854
EST,5.25484891183339,4.89568057868451,4.76131814447653,3.94217735552678,3.1148553529549,3.42119468118267,2.50663308284726,2.19798709857366,2.11654129939006,1.73499923433729
FIN,2.21775606323326,2.04080269593747,1.62518474934018,1.6363350213937,1.61130550535484,1.49604242046528,1.346013997818,1.21566825828487,1.55724176268903,1.59069903811514
FRA,1.26591266936055,1.35395416064815,1.233398208401,1.21608574365467,1.23376881322189,1.57013165243603,1.36699079090469,1.25380705093894,1.19863650250978,1.32197690176242
GRC,1.61651193463414,1.69912958393303,1.53972885374885,1.42451455476798,0.999863570017549,0.872441787259855,0.791319377160055,0.813665877946901,0.940863944991201,0.744740129615336
HRV,1.43247839787919,1.13607434841499,1.18718703945581,1.0756225808722,0.845960468267318,0.87411059247216,1.04547557377006,1.09972944264995,0.577421797239779,0.798973633627977
HUN,1.39009486893823,1.4652845294552,1.25705025250997,1.56600778753301,1.48903757280348,2.26019324140858,2.07116396338756,1.64442884977752,0.88591277138032,0.66083752896327
IRL,1.2076419583122,0.914810454540999,1.1284234903918,1.10499009192218,,0.666319893732724,0.724052821782916,0.820485891745091,0.809347927052434,0.696364852581609
ITA,0.891694785112682,0.926344378255945,0.885111389347825,0.834346793219679,0.786298580050708,0.774202208972231,0.665973570608067,0.619708435751415,0.592142571568966,0.523533473739396
LTU,7.01063599913567,6.84309084576062,6.6326039767386,6.5803948103949,5.35083651410837,5.86655897665382,5.29493295680477,3.51442089899589,3.28422465524566,3.40625250259908
LUX,1.96893028017878,0.770249869057522,0.0,0.184313450827014,0.721354993219263,0.882237212412725,0.863161311038452,0.337886922762428,0.496488173651704,0.649635392136164
LVA,,,3.38324751162145,2.44504755617497,3.16640444879825,3.35389890747995,3.49497154637295,4.15151066297575,4.35580496572137,3.93341514836842
MLT,0.96558416635084,0.718184429761563,2.84488951160359,1.64263723060749,1.39473256003161,0.922596463226458,1.14652865519068,2.05509950106751,1.59360735791283,1.1353908128717
NLD,0.863157885903355,0.854333661266023,0.86351414525499,0.742125513966446,0.728133054416935,0.61398618011568,0.55355057052514,0.775496974592428,0.586181589677577,0.637534162911503
POL,1.00183189135634,1.1022068584221,1.06992347535839,0.799307239105528,0.753456943151674,0.78350792589256,0.684404717148955,0.756194949271176,0.730454700139775,0.667761637389542
PRT,,,,,,,,,,0.870315380780581
ROU,1.29934456370843,1.00802892580799,1.04807982136369,1.08281121633475,1.6220860845577,1.70136463496293,1.54574495814365,1.29744805704864,1.28164969847909,1.26003392383136
SVK,1.51731225527557,1.60845061464999,1.16345767802657,1.30954728212684,1.19731844876159,0.809476169573483,1.04740884832619,1.35832080710688,1.13698526888876,1.39270355278676
SVN,0.734093658605339,0.780001540503043,0.680329629424451,0.581643336306177,0.773885991115789,0.965624259185139,0.482112423796105,0.915047474107768,0.481269936607124,0.481080545391393
SWE,0.969099877669777,0.855630338116589,0.712577847819989,0.904552456556529,0.897634855966233,1.14695939528204,1.07767352246639,1.14085005444278,1.08307267718517,1.10597524548416
